Protein Group,Protein Ids,Protein Names,Genes,First Protein Description,Peptides,Prime1_1,Prime1_2,Prime1_3,Prime2_1,Prime2_2,Prime2_3,Naive1_1,Naive1_2,Naive1_3,Naive2_1,Naive2_2,Naive2_3
Q9UIC8;Q9UIC8-2,I3L2Q8;I3L4A2;Q9UIC8-2;Q9UIC8-3;Q9UIC8,LCMT1-2_HUMAN;LCMT1_HUMAN,LCMT1,Leucine carboxyl methyltransferase 1,8,1254100,1315770,1230300,1368650,1297360,1331130,1202490,1103980,1028550,760789,748442,940196
Q9UID3;Q9UID3-2,Q9UID3-2;Q9UID3,VPS51-2_HUMAN;VPS51_HUMAN,VPS51,Vacuolar protein sorting-associated protein 51 homolog,4,283811,274298,329259,305683,285542,226457,146686,300390,253301,220658,219072,238410
Q9UID6,C9IZP0;C9J3R1;J3KR59;J3KR68;Q9UID6,ZN639_HUMAN,ZNF639,Zinc finger protein 639,1,109796,,46223,150362,161589,234008,1068260,195156,229905,194564,522917,225929
Q9UIF9;Q9UIF9-2;Q9UIF9-3,A0A0C4DGI9;F8VU39;J3KPG5;Q9UIF9-2;Q9UIF9-3;Q9UIF9,BAZ2A-2_HUMAN;BAZ2A-3_HUMAN;BAZ2A_HUMAN,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A,17,2073010,1980000,2292070,2056990,2111990,1808330,1738040,2346030,2335220,2123920,2182670,2097120
Q9UIG0;Q9UIG0-2,Q9UIG0-2;Q9UIG0,BAZ1B-2_HUMAN;BAZ1B_HUMAN,BAZ1B,Tyrosine-protein kinase BAZ1B,34,3083080,3031890,3007810,3063760,3249000,2972740,2583210,3716100,3681980,3579510,3551590,3479510
Q9UII2,Q9UII2,ATIF1_HUMAN,ATP5IF1,"ATPase inhibitor, mitochondrial",5,5338710,5304870,5106810,5603240,5545170,6159900,4177710,5010090,5006310,5667910,5845190,6431250
Q9UIJ7,Q9UIJ7-2;Q9UIJ7-3;Q9UIJ7,KAD3_HUMAN,AK3,"GTP:AMP phosphotransferase AK3, mitochondrial",16,6448150,6214570,6333120,6289200,6437160,6711770,9004960,7904410,8247660,8112330,8222960,8121630
Q9UIL1;Q9UIL1-2;Q9UIL1-3,A0A0C4DGB0;Q9UIL1-2;Q9UIL1-3;Q9UIL1-4;Q9UIL1,SCOC-2_HUMAN;SCOC-3_HUMAN;SCOC_HUMAN,SCOC,Short coiled-coil protein,2,330689,542558,438489,307604,397141,207111,208724,639703,614055,622415,623259,430671
Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3,Q9UIQ6-2;Q9UIQ6-3;Q9UIQ6,LCAP-2_HUMAN;LCAP-3_HUMAN;LCAP_HUMAN,LNPEP,Leucyl-cystinyl aminopeptidase,2,824979,776238,690878,811475,,1014430,,953680,936510,,855079,764724
Q9UIS9;Q9UIS9-10;Q9UIS9-12;Q9UIS9-5;Q9UIS9-7;Q9UIS9-9,A0A0A0MS90;Q9UIS9-10;Q9UIS9-11;Q9UIS9-12;Q9UIS9-2;Q9UIS9-4;Q9UIS9-5;Q9UIS9-6;Q9UIS9-7;Q9UIS9-8;Q9UIS9-9;Q9UIS9,MBD1-10_HUMAN;MBD1-12_HUMAN;MBD1-5_HUMAN;MBD1-7_HUMAN;MBD1-9_HUMAN;MBD1_HUMAN,MBD1,Methyl-CpG-binding domain protein 1,3,354846,382576,394222,346347,275347,414948,576305,497294,458060,543852,471892,506722
Q9UIU6,Q9UIU6,SIX4_HUMAN,SIX4,Homeobox protein SIX4,1,570531,531731,504593,544100,517127,601304,,373015,373913,339080,448150,371378
Q9UIV1;Q9UIV1-2,E5RGH2;H0YAV9;Q9UIV1-2;Q9UIV1,CNOT7-2_HUMAN;CNOT7_HUMAN,CNOT7,CCR4-NOT transcription complex subunit 7,5,1709740,1612240,1370020,1810830,1843260,2056720,1427060,1706950,1682930,1551740,1534850,1528650
Q9UIV8;Q9UIV8-2,A0A0A0MQW3;F8WE70;Q9UIV8-2;Q9UIV8,SPB13-2_HUMAN;SPB13_HUMAN,SERPINB13,Serpin B13,11,,,,,794413,,,,943901,926669,1491580,1010370
Q9UIW2,Q9UIW2,PLXA1_HUMAN,PLXNA1,Plexin-A1,15,793559,835852,752602,688791,782523,710898,651719,675131,636696,591654,616041,607833
Q9UJ14,Q9UJ14,GGT7_HUMAN,GGT7,Glutathione hydrolase 7,2,516194,537889,593608,556300,489323,436382,490718,413941,298906,368901,300482,298990
Q9UJ41;Q9UJ41-3;Q9UJ41-4,A0A0A0MSJ3;E9PFK9;Q3HKR1;Q9UJ41-3;Q9UJ41-4;Q9UJ41,RABX5-3_HUMAN;RABX5-4_HUMAN;RABX5_HUMAN,RABGEF1,Rab5 GDP/GTP exchange factor,1,94244.3,121185,,121132,112012,84739.5,,,,,,
Q9UJ70;Q9UJ70-2,C9JEV6;H0YE82;H0YEB7;H7C1L7;H7C3G9;Q9UJ70-2;Q9UJ70,NAGK-2_HUMAN;NAGK_HUMAN,NAGK,N-acetyl-D-glucosamine kinase,8,1194710,1081870,1121650,1077740,1030720,989334,989176,1250910,1192300,900534,1382910,941185
Q9UJ83;Q9UJ83-2,B3KPX4;C9J306;C9JJM7;F8WCH9;Q7Z773;Q9UJ83-2;Q9UJ83-3;Q9UJ83-4;Q9UJ83,HACL1-2_HUMAN;HACL1_HUMAN,HACL1,2-hydroxyacyl-CoA lyase 1,16,4223420,4100100,4144690,4370520,4681640,4252700,4175260,5230780,5387260,4677700,4708600,4521480
Q9UJA2;Q9UJA2-2,Q9UJA2-2;A0A494C100;Q9UJA2,CRLS1-2_HUMAN;CRLS1_HUMAN,CRLS1,Cardiolipin synthase (CMP-forming),1,146399,309782,317372,440111,203340,,,,,,,
Q9UJA5,Q9UJA5-2;Q9UJA5-3;Q9UJA5-4;Q9UJA5,TRM6_HUMAN,TRMT6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,8,543908,592586,595391,634050,646376,626842,476379,647501,629501,517416,641644,568031
Q9UJC3;Q9UJC3-2,Q9UJC3-2;Q9UJC3,HOOK1-2_HUMAN;HOOK1_HUMAN,HOOK1,Protein Hook homolog 1,3,1454590,1810890,1488430,1566140,1483610,2206020,1663510,1274730,1605250,1170490,1177910,1416330
Q9UJC5,Q9UJC5,SH3L2_HUMAN,SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2,2,,,,,319827,271355,327721,252520,180516,283497,239851,333972
Q9UJF2;Q9UJF2-2,H0Y638;Q9UJF2-2;Q9UJF2,NGAP-2_HUMAN;NGAP_HUMAN,RASAL2,Ras GTPase-activating protein nGAP,3,158726,145210,149102,136805,113564,122480,297650,187039,226624,,176602,101424
Q9UJG1;Q9UJG1-2;Q9UJG1-3,Q9UJG1-2;Q9UJG1-3;Q9UJG1,MSPD1-2_HUMAN;MSPD1-3_HUMAN;MSPD1_HUMAN,MOSPD1,Motile sperm domain-containing protein 1,2,,696212,636078,631760,592846,710953,585554,705620,742642,680872,,677884
Q9UJJ9,Q9UJJ9,GNPTG_HUMAN,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,3,191090,392813,422894,341648,294122,424428,732944,605781,578382,554862,496098,512983
Q9UJK0,Q9UJK0,TSR3_HUMAN,TSR3,Ribosome biogenesis protein TSR3 homolog,2,,188228,170571,292575,282308,207910,321413,225428,,252416,266654,
Q9UJQ4,Q6Y8G5;Q9UJQ4-2;Q9UJQ4,SALL4_HUMAN,SALL4,Sal-like protein 4,26,2850240,2731310,2840210,3285520,3199810,3277180,5096430,5344690,5459900,5854620,5366770,5645960
Q9UJS0;Q9UJS0-2,Q9UJS0-2;R4GN64;Q9UJS0,CMC2-2_HUMAN;CMC2_HUMAN,SLC25A13,Calcium-binding mitochondrial carrier protein Aralar2,32,12449600,12904700,11921200,10848400,10834200,10969800,10072700,11250000,11493800,10768100,11447700,11085600
Q9UJU6,H0Y5J4;Q9UJU6-5;Q9UJU6,DBNL_HUMAN,DBNL,Drebrin-like protein,17,1224250,1126310,1195800,1171530,1187870,1116910,993610,1099690,1010320,953035,842183,892523
Q9UJV9,D6RGI7;H0YA06;J3KNN5;Q9UJV9,DDX41_HUMAN,DDX41,Probable ATP-dependent RNA helicase DDX41,39,2985110,3063400,3048670,4922240,4899060,4698530,4023560,4243930,4130290,5713670,5585620,5745590
Q9UJW0,E5RI97;Q9UJW0-3;Q9UJW0,DCTN4_HUMAN,DCTN4,Dynactin subunit 4,12,2704150,2431560,2491680,1837230,1536460,1573670,1233060,1362400,1439270,1408100,1309000,1409300
Q9UJW3;Q9UJW3-2,H7C3F7;Q9UJW3-2;A0A096LPK6;Q9UJW3,DNM3L-2_HUMAN;DNM3L_HUMAN,DNMT3L,DNA (cytosine-5)-methyltransferase 3-like,3,,,,,,,923276,996498,1077950,971497,1022370,966621
Q9UJX2;Q9UJX2-3,Q9UJX2-3;Q9UJX2,CDC23-3_HUMAN;CDC23_HUMAN,CDC23,Cell division cycle protein 23 homolog,6,545364,515933,538330,601953,529379,526147,295064,530437,533648,540723,495877,556067
Q9UJX3;Q9UJX3-2,H0YIW2;Q9UJX3-2;Q9UJX3,APC7-2_HUMAN;APC7_HUMAN,ANAPC7,Anaphase-promoting complex subunit 7,7,567565,547106,420760,525388,562575,630074,754317,521352,468666,513823,615876,593495
Q9UJX4,F5GY68;F5H0F9;Q9UJX4-2;Q9UJX4-3;Q9UJX4,APC5_HUMAN,ANAPC5,Anaphase-promoting complex subunit 5,3,513390,468145,453288,423425,561088,510221,243750,521982,454115,434757,417357,466097
Q9UJX5;Q9UJX5-3,Q9UJX5-3;Q9UJX5,APC4-3_HUMAN;APC4_HUMAN,ANAPC4,Anaphase-promoting complex subunit 4,5,703752,528331,659979,598143,642528,475710,794810,661782,591959,558021,621998,704592
Q9UJX6;Q9UJX6-2,Q9UJX6-2;Q9UJX6,ANC2-2_HUMAN;ANC2_HUMAN,ANAPC2,Anaphase-promoting complex subunit 2,2,,,,156622,254022,295014,369537,184368,,159949,226694,154612
Q9UJY4,Q9UJY4,GGA2_HUMAN,GGA2,ADP-ribosylation factor-binding protein GGA2,2,523003,757284,463079,584037,788010,624207,284184,776045,792371,741069,694517,706177
Q9UJZ1,A0A087WYB4;Q9UJZ1,STML2_HUMAN,STOML2,"Stomatin-like protein 2, mitochondrial",18,9928310,10430600,10257800,10453400,10595100,10686600,8645320,11499900,11797300,11429300,11084800,10598400
Q9UK22,A0A286YF37;Q9UK22,FBX2_HUMAN,FBXO2,F-box only protein 2,2,346232,350810,387439,500575,,158089,,292356,,,,
Q9UK23;Q9UK23-2;Q9UK23-3,K7EL75;K7EPH3;K7ERI4;Q9UK23-2;Q9UK23-3;Q9UK23,NAGPA-2_HUMAN;NAGPA-3_HUMAN;NAGPA_HUMAN,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,3,228446,322640,314365,329418,358173,917574,505169,432461,466196,384336,353688,407389
Q9UK39,Q9UK39,NOCT_HUMAN,NOCT,Nocturnin,8,1051400,971583,1011550,890942,943415,945516,1355280,1839130,1754160,1633670,1626420,1630650
Q9UK41;Q9UK41-2,E9PM90;E9PQR7;Q9UK41-2;Q9UK41,VPS28-2_HUMAN;VPS28_HUMAN,VPS28,Vacuolar protein sorting-associated protein 28 homolog,5,454352,507304,487990,565099,608338,592473,466399,548801,572789,494384,555697,465392
Q9UK45,A0A087X2I5;Q9UK45,LSM7_HUMAN,LSM7,U6 snRNA-associated Sm-like protein LSm7,6,9030450,9141160,8849130,10373900,10642000,10303200,9501360,9472220,9120250,8641380,8149100,8608230
Q9UK53;Q9UK53-2;Q9UK53-4;Q9UK53-5,A0A087WXF7;A0A0C4DFW2;Q9UK53-2;Q9UK53-3;Q9UK53-4;Q9UK53-5;Q9UK53,ING1-2_HUMAN;ING1-4_HUMAN;ING1-5_HUMAN;ING1_HUMAN,ING1,Inhibitor of growth protein 1,3,,1185260,516689,360099,301270,280890,,384633,359557,436926,514829,384396
Q9UK58;Q9UK58-6,Q9UK58-4;Q9UK58-6;Q9UK58,CCNL1-6_HUMAN;CCNL1_HUMAN,CCNL1,Cyclin-L1,2,532335,409351,330101,837142,822344,707129,333952,428698,419175,766435,651787,673723
Q9UK61;Q9UK61-3;Q9UK61-4,A0A087X0F1;Q9UK61-2;Q9UK61-3;Q9UK61-4;Q9UK61,TASOR-3_HUMAN;TASOR-4_HUMAN;TASOR_HUMAN,TASOR,Protein TASOR,16,750286,878133,874342,790389,771907,657561,685183,787495,785692,749637,717617,693290
Q9UK76,J3KT51;Q9UK76-2;Q9UK76,JUPI1_HUMAN,JPT1,Jupiter microtubule associated homolog 1,4,3770200,3834200,3573400,3068670,2537930,2413400,1506360,2972540,2821310,1732160,1325610,1576310
Q9UKA1;Q9UKA1-2,H0Y9Y0;Q9UKA1-2;Q9UKA1,FBXL5-2_HUMAN;FBXL5_HUMAN,FBXL5,F-box/LRR-repeat protein 5,1,,,,566511,,,827517,,635395,644264,,602571
Q9UKA9;Q9UKA9-2,Q9UKA9-2;Q9UKA9-3;Q9UKA9-4;Q9UKA9-5;Q9UKA9-6;Q9UKA9,PTBP2-2_HUMAN;PTBP2_HUMAN,PTBP2,Polypyrimidine tract-binding protein 2,14,5544600,5186290,5450860,6130170,6255100,6164960,3980400,4359530,4443420,4029500,4030620,4377840
Q9UKB1;Q9UKB1-2;Q9UKB1-3,Q9UKB1-2;Q9UKB1-3;Q9UKB1,FBW1B-2_HUMAN;FBW1B-3_HUMAN;FBW1B_HUMAN,FBXW11,F-box/WD repeat-containing protein 11,4,730758,592347,599145,624028,694072,461518,643550,706831,699526,456018,563560,594568
Q9UKD1,Q5JTV1;Q9UKD1,GMEB2_HUMAN,GMEB2,Glucocorticoid modulatory element-binding protein 2,1,240655,303305,249932,222831,,,,215911,,,,107676
Q9UKD2,Q9UKD2,MRT4_HUMAN,MRTO4,mRNA turnover protein 4 homolog,14,4424600,4503510,4564140,4787150,4720450,4625230,4343190,4907580,4801040,5330530,5097740,5379050
Q9UKE5;Q9UKE5-2;Q9UKE5-4;Q9UKE5-6,Q9UKE5-2;Q9UKE5-3;Q9UKE5-4;Q9UKE5-5;Q9UKE5-6;Q9UKE5-7;Q9UKE5-8;Q9UKE5,TNIK-2_HUMAN;TNIK-4_HUMAN;TNIK-6_HUMAN;TNIK_HUMAN,TNIK,TRAF2 and NCK-interacting protein kinase,5,595220,662123,704325,613707,614304,422754,,,,,,
Q9UKF6,C9JZH6;G5E9W3;Q9UKF6,CPSF3_HUMAN,CPSF3,Cleavage and polyadenylation specificity factor subunit 3,20,1768710,1815410,1765870,1965390,1947590,2151240,1732080,1646950,1718990,1773880,1842730,1843660
Q9UKG1,Q9UKG1,DP13A_HUMAN,APPL1,DCC-interacting protein 13-alpha,10,1007040,988048,950721,1129340,1118820,1174110,590629,855961,868759,951060,1005570,971667
Q9UKI8;Q9UKI8-2;Q9UKI8-4;Q9UKI8-5,B7Z3B5;D6R910;F2Z2J1;J3KRK0;J3QLK5;Q15349-2;Q15349-3;Q86UE8-2;Q86UE8-3;Q9UKI8-2;Q9UKI8-3;Q9UKI8-4;Q9UKI8-5;Q15349;Q86UE8;Q9UKI8,TLK1-2_HUMAN;TLK1-4_HUMAN;TLK1-5_HUMAN;TLK1_HUMAN,TLK1,Serine/threonine-protein kinase tousled-like 1,1,368161,4495090,5299780,4698370,5151990,4462810,7425810,,6417280,5548160,5464150,4936290
Q9UKJ3,K7EKU0;Q9UKJ3,GPTC8_HUMAN,GPATCH8,G patch domain-containing protein 8,20,1217000,1176310,1164780,1832630,1819170,1884210,1242140,1487740,1499730,1617900,1591120,1539540
Q9UKK6,Q9UKK6,NXT1_HUMAN,NXT1,NTF2-related export protein 1,2,,194949,,278788,132958,278209,478950,253173,296937,218072,215721,290591
Q9UKK9,A6NFX8;Q9UKK9,NUDT5_HUMAN,NUDT5,ADP-sugar pyrophosphatase,11,2447900,2535890,2609020,2801190,2790190,2703270,2267710,2354640,2500340,1770530,2134810,1823400
Q9UKL0,Q9UKL0,RCOR1_HUMAN,RCOR1,REST corepressor 1,8,548117,502714,455580,635915,647560,662544,789799,702642,743148,785747,893878,800759
Q9UKL3,A0A087WTW5;Q9UKL3,C8AP2_HUMAN,CASP8AP2,CASP8-associated protein 2,1,666382,644200,659170,715899,737316,800173,,830869,734726,702265,786246,815684
Q9UKM7,Q9UKM7,MA1B1_HUMAN,MAN1B1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",8,949134,884369,956757,604649,783311,645463,640563,845980,720881,646539,642764,714772
Q9UKM9-2,Q5QPL9;Q5QPM0;Q5QPM1;Q9UKM9-2;Q9UKM9,RALY-2_HUMAN,RALY,"Isoform of Q9UKM9, Isoform 1 of RNA-binding protein Raly",16,17770000,17422800,16906700,18501000,18233300,19384600,16747600,18051700,18381900,17527100,17777300,18092200
Q9UKN8,Q9UKN8,TF3C4_HUMAN,GTF3C4,General transcription factor 3C polypeptide 4,28,1154290,1208940,1284240,1571620,1562260,1392970,1107240,1459100,1455510,1853700,1742590,1792860
Q9UKR5,Q9UKR5,ERG28_HUMAN,ERG28,Probable ergosterol biosynthetic protein 28,4,6356440,5775020,5714190,5810730,5718730,5487150,5491910,5382610,5261600,4279930,4740080,4543320
Q9UKS6,A0A0C4DGG1;H0YDM6;Q9UKS6,PACN3_HUMAN,PACSIN3,Protein kinase C and casein kinase substrate in neurons protein 3,8,860124,929698,884367,947000,892249,935610,1326710,1510510,1588390,1538580,1446340,1460060
Q9UKU7,Q9UKU7-2;Q9UKU7,ACAD8_HUMAN,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial",13,2331950,2259990,2300340,2379650,2348560,2175670,1918910,1781010,1741660,1760510,1616760,1695350
Q9UKV3-2;Q9UKV3-3,E7EQT4;G3V3B0;Q9UKV3-2;Q9UKV3-3;S4R3H4;Q9UKV3,ACINU-2_HUMAN;ACINU-3_HUMAN,ACIN1,"Isoform of Q9UKV3, Isoform 2 of Apoptotic chromatin condensation inducer in the nucleus",3,5532830,4801480,4651840,7305080,6452130,7513540,4539610,4547800,4313080,4256480,4469700,4530090
Q9UKV3-5,E7EQT4;G3V3B0;Q9UKV3-2;Q9UKV3-3;Q9UKV3-5;S4R3H4;Q9UKV3,ACINU-5_HUMAN,ACIN1,"Isoform of Q9UKV3, Isoform 4 of Apoptotic chromatin condensation inducer in the nucleus",54,42883700,44687400,44497000,67361100,67012500,66760200,40163000,49987600,51084100,50884700,48590100,49268500
Q9UKV5,R4GNG2;Q9UKV5,AMFR_HUMAN,AMFR,E3 ubiquitin-protein ligase AMFR,5,1060040,1041070,1053520,854284,707219,1016010,1288590,836141,694438,794828,999680,809120
Q9UKV8,Q5TA58;Q9H9G7-2;Q9UKV8-2;Q9H9G7;Q9UKV8;Q9UL18,AGO2_HUMAN,AGO2,Protein argonaute-2,20,1918900,2054960,2082360,2262030,2263110,2227050,1732820,1706980,1900820,1525470,1776440,1523690
Q9UKX2,P12882;Q9UKX2,MYH2_HUMAN,MYH2,Myosin-2,2,534788,,,601373,481218,684669,,617330,594973,562042,716006,573107
Q9UKX7;Q9UKX7-2,Q9UKX7-2;Q9UKX7,NUP50-2_HUMAN;NUP50_HUMAN,NUP50,Nuclear pore complex protein Nup50,22,4265600,3942610,3854000,4660560,4532840,4693200,4106800,5636780,5800690,5965470,6280790,6229590
Q9UKY4,Q9UKY4,POMT2_HUMAN,POMT2,Protein O-mannosyl-transferase 2,1,778038,783947,818612,746501,798899,537366,1123350,953200,804152,836076,715682,787576
Q9UKY7,Q9UKY7-2;Q9UKY7,CDV3_HUMAN,CDV3,Protein CDV3 homolog,5,2815400,2901460,2888950,2734660,2979080,2889630,2591830,2844790,2859460,2039450,1667860,1863610
Q9UKZ1,Q9UKZ1,CNO11_HUMAN,CNOT11,CCR4-NOT transcription complex subunit 11,1,501022,449501,393077,436593,392186,465982,308316,422688,428809,293314,324859,350183
Q9UL01,Q9UL01,DSE_HUMAN,DSE,Dermatan-sulfate epimerase,5,474478,585109,630254,465364,555739,,,321463,262292,313914,343266,318014
Q9UL03;Q9UL03-3,B3KQH5;G5E9X1;Q9UL03-3;Q9UL03,INT6-3_HUMAN;INT6_HUMAN,INTS6,Integrator complex subunit 6,1,,,,492133,596125,,,453561,402003,436436,514460,356586
Q9UL12;Q9UL12-2,A0A0A0MT55;Q5SYV1;Q9UL12-2;Q9UL12,SARDH-2_HUMAN;SARDH_HUMAN,SARDH,"Sarcosine dehydrogenase, mitochondrial",2,685513,63127.9,79304.8,675032,,,,450678,,,,
Q9UL15;Q9UL15-2,Q9UL15-2;Q9UL15,BAG5-2_HUMAN;BAG5_HUMAN,BAG5,BAG family molecular chaperone regulator 5,4,747996,820610,827213,672473,939404,703315,409346,619791,633301,436896,611231,529863
Q9UL18,Q5TA58;Q9UL18,AGO1_HUMAN,AGO1,Protein argonaute-1,11,1120840,1084010,1059750,1349800,1419440,1318840,1209260,1334690,1346050,1244500,1256320,1210660
Q9UL25,Q9UL25,RAB21_HUMAN,RAB21,Ras-related protein Rab-21,7,3132130,2261500,2458970,2687110,2666010,2319800,3551000,3613340,3406630,3582370,3485620,3367610
Q9UL33;Q9UL33-2,A0A0B4J294;H3BP13;H3BUK6;Q9UL33-2;Q9UL33,TPC2L-2_HUMAN;TPC2L_HUMAN,TRAPPC2L,Trafficking protein particle complex subunit 2-like protein,4,415240,721052,1732190,1325670,1226860,1043920,1019250,1053890,755270,505257,533755,523226
Q9UL40,B7Z6B6;B7Z6Q2;D6RJ07;Q9UL40-2;Q9UL40,ZN346_HUMAN,ZNF346,Zinc finger protein 346,9,1011000,953872,925564,992574,961045,1020960,720548,758206,681067,714905,739412,722445
Q9UL45;Q9UL45-2,H3BN13;H3BPR6;H3BST1;H3BU57;Q9UL45-2;Q9UL45,BL1S6-2_HUMAN;BL1S6_HUMAN,BLOC1S6,Biogenesis of lysosome-related organelles complex 1 subunit 6,1,,,,,,253829,,378606,284932,294057,323121,261249
Q9UL46,A0A087X1Z3;Q9UL46,PSME2_HUMAN,PSME2,Proteasome activator complex subunit 2,7,1101440,1085670,1054450,1303130,1244150,1427630,942318,905961,1186380,750643,1113440,1011730
Q9UL54;Q9UL54-4,Q9UL54-2;Q9UL54-4;Q9UL54,TAOK2-4_HUMAN;TAOK2_HUMAN,TAOK2,Serine/threonine-protein kinase TAO2,5,924334,1379290,1339060,1487280,1359460,1401490,1633830,1473570,1436440,1378710,1629530,1506090
Q9UL63;Q9UL63-2,C9J7E8;Q9UL63-2;Q9UL63,MKLN1-2_HUMAN;MKLN1_HUMAN,MKLN1,Muskelin,1,237815,215065,167382,,153341,137995,122716,147670,187619,117554,,136815
Q9ULA0,A0A024R442;E7EMB6;E7ETB3;Q9ULA0,DNPEP_HUMAN,DNPEP,Aspartyl aminopeptidase,8,2105130,2081670,2117750,2796980,2688180,2472930,1696730,1702420,1839720,1464430,1763630,1732870
Q9ULC3,Q9ULC3,RAB23_HUMAN,RAB23,Ras-related protein Rab-23,5,1382210,1380380,1334380,1487840,1464500,1520770,1572980,1551470,1661100,1686200,1828300,1626350
Q9ULC4;Q9ULC4-2;Q9ULC4-3,Q9ULC4-2;Q9ULC4-3;A0A3B3IRV3;Q9ULC4,MCTS1-2_HUMAN;MCTS1-3_HUMAN;MCTS1_HUMAN,MCTS1,Malignant T-cell-amplified sequence 1,7,3725470,4196130,3222480,3960520,4096590,3725110,2028590,2134060,2536900,2149640,2852860,2517660
Q9ULD0-2,Q9ULD0-2;Q9ULD0-3;Q9ULD0,OGDHL-2_HUMAN,OGDHL,"Isoform of Q9ULD0, Isoform 2 of 2-oxoglutarate dehydrogenase-like, mitochondrial",4,299332,215476,255061,300438,239116,248389,362261,313934,352046,337599,296607,304091
Q9ULD4,P55201-2;P55201-3;P55201-4;Q9ULD4-2;Q9ULD4-3;P55201;Q9ULD4,BRPF3_HUMAN,BRPF3,Bromodomain and PHD finger-containing protein 3,9,545730,337846,428526,512450,455611,488921,675864,492673,680381,670052,656224,678789
Q9ULD9;Q9ULD9-2,A0A0C4DGB8;B3KPE6;Q9ULD9-2;Q9ULD9,ZN608-2_HUMAN;ZN608_HUMAN,ZNF608,Zinc finger protein 608,2,307583,,293799,254307,277410,279747,,,235323,261727,265851,264550
Q9ULE0;Q9ULE0-2,Q9ULE0-2;Q9ULE0,WWC3-2_HUMAN;WWC3_HUMAN,WWC3,Protein WWC3,1,1811000,1462880,1411300,1416930,1313530,613724,584501,1737940,1908740,1737810,1401350,1708060
Q9ULE6,Q9ULE6,PALD_HUMAN,PALD1,Paladin,6,591892,719659,887643,863923,703649,731452,554376,686275,658101,569470,522837,428832
Q9ULF5,Q9ULF5-2;Q9ULF5,S39AA_HUMAN,SLC39A10,Zinc transporter ZIP10,7,1000470,1198920,1147320,975179,994391,1127480,1198060,1031400,1122510,912196,1030000,987602
Q9ULG1,H0YMN5;Q9ULG1,INO80_HUMAN,INO80,Chromatin-remodeling ATPase INO80,4,4138240,4179270,3949380,4414060,5250740,5398930,6310510,4245000,5027330,5744710,5991640,6170140
Q9ULH0;Q9ULH0-2;Q9ULH0-4,A0A1W2PPB7;E9PH70;H0Y8E4;Q9ULH0-2;Q9ULH0-3;Q9ULH0-4;Q9ULH0,KDIS-2_HUMAN;KDIS-4_HUMAN;KDIS_HUMAN,KIDINS220,Kinase D-interacting substrate of 220 kDa,18,1175630,1157090,1126850,816649,790003,798280,853406,953237,965919,802244,800749,839629
Q9ULI0;Q9ULI0-2,C9JG15;Q9ULI0-2;Q9ULI0,ATD2B-2_HUMAN;ATD2B_HUMAN,ATAD2B,ATPase family AAA domain-containing protein 2B,1,,112917,213471,178906,198885,168425,,163366,179116,151695,,210661
Q9ULJ3;Q9ULJ3-2,Q9ULJ3-2;Q9ULJ3,ZBT21-2_HUMAN;ZBT21_HUMAN,ZBTB21,Zinc finger and BTB domain-containing protein 21,3,252028,430062,318317,464586,408603,352655,385685,477805,487218,406528,498760,461276
Q9ULJ8-3;Q9ULJ8-4;Q9ULJ8-5,Q9ULJ8-3;Q9ULJ8-4;Q9ULJ8-5;Q9ULJ8,NEB1-3_HUMAN;NEB1-4_HUMAN;NEB1-5_HUMAN,PPP1R9A,"Isoform of Q9ULJ8, Isoform 3 of Neurabin-1",20,2507420,2347980,2240580,650438,613097,630980,537054,609100,593559,509410,509837,510328
Q9ULK4;Q9ULK4-3;Q9ULK4-4;Q9ULK4-5,Q5JWT2;Q9ULK4-2;Q9ULK4-3;Q9ULK4-4;Q9ULK4-5;Q9ULK4,MED23-3_HUMAN;MED23-4_HUMAN;MED23-5_HUMAN;MED23_HUMAN,MED23,Mediator of RNA polymerase II transcription subunit 23,6,535955,603289,634199,775174,814263,708612,733441,627443,671419,1037870,1146220,1085220
Q9ULK5,Q9ULK5,VANG2_HUMAN,VANGL2,Vang-like protein 2,7,1178220,1195900,1101330,889567,904467,1004430,810716,795440,808017,946122,887367,919148
Q9ULL5;Q9ULL5-2,Q9ULL5-2;Q9ULL5,PRR12-2_HUMAN;PRR12_HUMAN,PRR12,Proline-rich protein 12,9,375554,348845,299233,372215,351627,415712,362717,345519,308774,440260,252998,336503
Q9ULM3,Q9ULM3,YETS2_HUMAN,YEATS2,YEATS domain-containing protein 2,4,1422250,1435790,1219700,1989160,1937670,2065700,1623380,1262240,1381020,1701390,1856140,1715230
